Date,PL,VaR,ES,Exception_VaR,Exception_ES
2006-01-02,-0.03979198493019431,-0.10607971374980096,-0.10798738273049403,False,False
2006-01-03,-0.021615494348934616,-0.1060571434378732,-0.10798738273049403,False,False
2006-01-04,0.011181567105830403,-0.10603457312594543,-0.10798738273049403,False,False
2006-01-05,0.03297669193004693,-0.10601200281401765,-0.10798738273049403,False,False
2006-01-06,0.053094300789575666,-0.10598943250208988,-0.10798738273049403,False,False
2006-01-09,0.06693137873744459,-0.1059668621901621,-0.10798738273049403,False,False
2006-01-10,0.022558924917931877,-0.10594429187823434,-0.10798738273049403,False,False
2006-01-12,0.03880423710833836,-0.10592172156630657,-0.10798738273049403,False,False
2006-01-13,0.03553410849521099,-0.10589915125437879,-0.10798738273049403,False,False
2006-01-16,0.010185544767464583,-0.10587658094245102,-0.10798738273049403,False,False
2006-01-17,0.003259985886024497,-0.10585401063052324,-0.10798738273049403,False,False
2006-01-18,-0.02088703373974643,-0.10585401063052324,-0.10776748631910796,False,False
2006-01-19,-0.011003399288052274,-0.10585401063052324,-0.10753941408481824,False,False
2006-01-20,-0.03659829674310966,-0.10585401063052324,-0.10753941408481824,False,False
2006-01-23,-0.03999361524937639,-0.10585401063052324,-0.10753941408481824,False,False
2006-01-24,-0.02697017023722137,-0.10585401063052324,-0.10753941408481824,False,False
2006-01-25,-0.028427165826510614,-0.10585401063052324,-0.10753941408481824,False,False
2006-01-27,-0.020579902842099207,-0.10585401063052324,-0.10753941408481824,False,False
2006-01-30,-0.043353541231796244,-0.10585401063052324,-0.10753941408481824,False,False
2006-01-31,-0.033845671789450416,-0.10585401063052324,-0.10753941408481824,False,False
2006-02-01,-0.04251803218395067,-0.10585401063052324,-0.10753941408481824,False,False
2006-02-02,-0.031354932299571536,-0.10585401063052324,-0.10753941408481824,False,False
2006-02-03,-0.055739142938241004,-0.10585401063052324,-0.10753941408481824,False,False
2006-02-06,-0.045652507076436866,-0.10585401063052324,-0.10753941408481824,False,False
2006-02-07,-0.03019219535065798,-0.10585401063052324,-0.10753941408481824,False,False
2006-02-08,-0.025555710887578464,-0.10585401063052324,-0.10753941408481824,False,False
2006-02-10,-0.00598728728296527,-0.10585401063052324,-0.10753941408481824,False,False
2006-02-13,-0.03239400721583996,-0.10585401063052324,-0.10753941408481824,False,False
2006-02-14,-0.016690238033709615,-0.10585401063052324,-0.10753941408481824,False,False
2006-02-15,-0.021379804918551737,-0.10585401063052324,-0.10753941408481824,False,False
2006-02-16,-0.001207917293829075,-0.10585401063052324,-0.10753941408481824,False,False
2006-02-17,-0.008381580956975054,-0.10585401063052324,-0.10753941408481824,False,False
2006-02-20,0.008632739962182168,-0.10585401063052324,-0.10753941408481824,False,False
2006-02-21,0.003466328115626638,-0.10585401063052324,-0.10753941408481824,False,False
2006-02-22,-0.009253971417563012,-0.10585401063052324,-0.10753941408481824,False,False
2006-02-23,-0.03060642658383994,-0.10585401063052324,-0.10753941408481824,False,False
2006-02-24,-0.004489209826871399,-0.10585401063052324,-0.10753941408481824,False,False
2006-02-27,0.008030302154864444,-0.10585401063052324,-0.10753941408481824,False,False
2006-02-28,0.009781373805204607,-0.10585401063052324,-0.10753941408481824,False,False
2006-03-01,0.015909667081764223,-0.10585401063052324,-0.10753941408481824,False,False
2006-03-02,0.030465334564359514,-0.10585401063052324,-0.10753941408481824,False,False
