Date,PL,VaR,ES,Exception_VaR,Exception_ES
2006-01-02,0.020425630532397987,-0.05103292864262139,-0.05610517117488511,False,False
2006-01-03,0.015912890909040023,-0.05102536355687232,-0.05610517117488511,False,False
2006-01-04,0.01187138491758355,-0.05102536355687232,-0.05610517117488511,False,False
2006-01-05,-0.01490956169938007,-0.05102536355687232,-0.05610517117488511,False,False
2006-01-06,-0.007278168046847777,-0.05102536355687232,-0.05610517117488511,False,False
2006-01-09,-0.01491294131658849,-0.05102536355687232,-0.05610517117488511,False,False
2006-01-10,-0.010064274646638505,-0.05102536355687232,-0.05610517117488511,False,False
2006-01-12,-0.012729598810206855,-0.05102536355687232,-0.05610517117488511,False,False
2006-01-13,0.010730359371512455,-0.05102536355687232,-0.05610517117488511,False,False
2006-01-16,-0.01832187537647678,-0.05102536355687232,-0.05610517117488511,False,False
2006-01-17,-0.015524207741471008,-0.05102536355687232,-0.05610517117488511,False,False
2006-01-18,-0.009301899617610632,-0.05102536355687232,-0.05610517117488511,False,False
2006-01-19,0.01859964971742345,-0.05102536355687232,-0.05610517117488511,False,False
2006-01-20,0.017469914381255114,-0.05102536355687232,-0.05610517117488511,False,False
2006-01-23,-0.015185486392496395,-0.05102536355687232,-0.05610517117488511,False,False
2006-01-24,0.004205355799316024,-0.05102536355687232,-0.05610517117488511,False,False
2006-01-25,0.04179026991718637,-0.05102536355687232,-0.05610517117488511,False,False
2006-01-27,0.03768530442802387,-0.05102536355687232,-0.05610517117488511,False,False
2006-01-30,-0.007908947661571797,-0.05102536355687232,-0.05610517117488511,False,False
2006-01-31,-0.008785494875658162,-0.05102536355687232,-0.05610517117488511,False,False
2006-02-01,-0.031267966967465144,-0.05102536355687232,-0.05610517117488511,False,False
2006-02-02,-0.017366963041062,-0.05102536355687232,-0.05610517117488511,False,False
2006-02-03,-0.015518610725922533,-0.05102536355687232,-0.05610517117488511,False,False
2006-02-06,0.06532975098808791,-0.05102536355687232,-0.05610517117488511,False,False
2006-02-07,0.033703239557333564,-0.05102536355687232,-0.05610517117488511,False,False
2006-02-08,-0.015347925750815006,-0.05102536355687232,-0.05610517117488511,False,False
2006-02-10,-0.024713327271044028,-0.05102536355687232,-0.05610517117488511,False,False
2006-02-13,0.009440261121571147,-0.05102536355687232,-0.05610517117488511,False,False
2006-02-14,-0.021328990556279126,-0.05102536355687232,-0.05610517117488511,False,False
2006-02-15,0.003017586796547622,-0.05102536355687232,-0.05610517117488511,False,False
2006-02-16,-0.0008356635711583849,-0.05102536355687232,-0.05610517117488511,False,False
2006-02-17,-0.018233530292459665,-0.05102536355687232,-0.05610517117488511,False,False
2006-02-20,0.008263785135232737,-0.05102536355687232,-0.05610517117488511,False,False
2006-02-21,0.0027038436108803854,-0.05102536355687232,-0.05610517117488511,False,False
2006-02-22,0.0016010297045319088,-0.05102536355687232,-0.05610517117488511,False,False
2006-02-23,-0.00992761590782898,-0.05102536355687232,-0.05610517117488511,False,False
2006-02-24,0.009177437897181395,-0.05102536355687232,-0.05610517117488511,False,False
2006-02-27,0.004715356109063151,-0.05102536355687232,-0.05610517117488511,False,False
2006-02-28,0.03126045740991579,-0.05102536355687232,-0.05610517117488511,False,False
2006-03-01,0.002112983422529968,-0.05102536355687232,-0.05610517117488511,False,False
2006-03-02,0.006244469335316083,-0.05102536355687232,-0.05610517117488511,False,False
2006-03-03,-0.013862029773172968,-0.05102536355687232,-0.05610517117488511,False,False
2006-03-06,0.002533479024296792,-0.05102536355687232,-0.05610517117488511,False,False
2006-03-07,-0.02029834041141687,-0.05102536355687232,-0.05610517117488511,False,False
2006-03-08,-0.015560029734963843,-0.05102536355687232,-0.05610517117488511,False,False
2006-03-09,0.01724283278299077,-0.05102536355687232,-0.05610517117488511,False,False
2006-03-10,0.020938927852135913,-0.05102536355687232,-0.05610517117488511,False,False
2006-03-13,-0.014893778376735334,-0.05102536355687232,-0.05610517117488511,False,False
2006-03-14,0.0028089714561809753,-0.05102536355687232,-0.05610517117488511,False,False
2006-03-16,0.006426109944486891,-0.05102536355687232,-0.05610517117488511,False,False
2006-03-17,-0.007612943848681608,-0.05102536355687232,-0.05610517117488511,False,False
2006-03-20,0.00016496824204814686,-0.05102536355687232,-0.05610517117488511,False,False
2006-03-21,-0.013278365448434637,-0.05102536355687232,-0.05610517117488511,False,False
2006-03-22,-0.009110637108723285,-0.05102536355687232,-0.05610517117488511,False,False
2006-03-23,-0.00042177646278007686,-0.05102536355687232,-0.05610517117488511,False,False
2006-03-24,0.010379720745179455,-0.05102536355687232,-0.05610517117488511,False,False
2006-03-27,0.0005011785012494219,-0.05102536355687232,-0.05610517117488511,False,False
2006-03-28,-0.01060191899720997,-0.05102536355687232,-0.05610517117488511,False,False
2006-03-29,0.00995616028455526,-0.05102536355687232,-0.05610517117488511,False,False
2006-03-30,-0.0163743037652605,-0.05102536355687232,-0.05610517117488511,False,False
2006-03-31,0.0005945269328193614,-0.05102536355687232,-0.05610517117488511,False,False
2006-04-03,0.025379888429129638,-0.05102536355687232,-0.05610517117488511,False,False
2006-04-04,0.016142390407767104,-0.05102536355687232,-0.05610517117488511,False,False
2006-04-05,0.013278957698634075,-0.05102536355687232,-0.05610517117488511,False,False
2006-04-07,-0.03569703543798086,-0.05102536355687232,-0.05610517117488511,False,False
2006-04-10,-0.0037518493142681963,-0.05102536355687232,-0.05610517117488511,False,False
2006-04-12,-0.024939335217046832,-0.05102536355687232,-0.05610517117488511,False,False
2006-04-13,-0.03295858118108563,-0.05102536355687232,-0.05610517117488511,False,False
