Date,PL,VaR,ES,Exception_VaR,Exception_ES
2006-01-03,0.021764535984541977,-0.023014239461730996,-0.02389910453553797,False,False
2006-01-04,-0.011981760670149888,-0.023014239461730996,-0.02389910453553797,False,False
2006-01-05,0.010587083530566144,-0.023014239461730996,-0.02389910453553797,False,False
2006-01-06,0.0034285714285713365,-0.023014239461730996,-0.02389910453553797,False,False
2006-01-09,0.024867160212604267,-0.023014239461730996,-0.02389910453553797,False,False
2006-01-10,-0.0029635116516572024,-0.023014239461730996,-0.02389910453553797,False,False
2006-01-11,-0.005387348861699892,-0.023014239461730996,-0.02389910453553797,False,False
2006-01-12,0.00018673888332587651,-0.023014239461730996,-0.02389910453553797,False,False
2006-01-13,-0.0020541550336909964,-0.023014239461730996,-0.02389910453553797,False,False
2006-01-17,-0.008982036096220725,-0.023014239461730996,-0.02389910453553797,False,False
2006-01-18,-0.0035875944786176728,-0.023014239461730996,-0.02389910453553797,False,False
2006-01-19,-0.0034110289937464566,-0.023014239461730996,-0.02389910453553797,False,False
2006-01-20,-0.022627837992013733,-0.023014239461730996,-0.02389910453553797,False,False
2006-01-23,0.0007781517206943978,-0.023700294836522622,-0.024344839861520296,False,False
2006-01-24,0.026827391656831123,-0.023700294836522622,-0.024344839861520296,False,False
2006-01-25,0.0015146156758802931,-0.023700294836522622,-0.024344839861520296,False,False
2006-01-26,0.007939470399263904,-0.023700294836522622,-0.024344839861520296,False,False
2006-01-27,-0.00037511252813204887,-0.023700294836522622,-0.024344839861520296,False,False
2006-01-30,-0.011632251625370627,-0.023700294836522622,-0.024344839861520296,False,False
2006-01-31,-0.0043659643128322045,-0.023700294836522622,-0.024344839861520296,False,False
2006-02-01,0.003241143884820996,-0.023700294836522622,-0.024344839861520296,False,False
2006-02-02,-0.001140212868495083,-0.023700294836522622,-0.024344839861520296,False,False
2006-02-03,-0.004375932184628395,-0.023700294836522622,-0.024344839861520296,False,False
2006-02-06,-0.0021020637453825763,-0.023700294836522622,-0.024344839861520296,False,False
2006-02-07,-0.00287248175272925,-0.023700294836522622,-0.024344839861520296,False,False
2006-02-08,0.012675244862684787,-0.023700294836522622,-0.024344839861520296,False,False
2006-02-09,0.005879025222833345,-0.023700294836522622,-0.024344839861520296,False,False
2006-02-10,-0.000754166652447763,-0.023700294836522622,-0.024344839861520296,False,False
2006-02-13,0.0003773584905661931,-0.023700294836522622,-0.024344839861520296,False,False
2006-02-14,0.00924175782723502,-0.023700294836522622,-0.024344839861520296,False,False
2006-02-15,0.01270792422754341,-0.023700294836522622,-0.024344839861520296,False,False
2006-02-16,0.005351559427044794,-0.023700294836522622,-0.024344839861520296,False,False
2006-02-17,-0.0005506424375917307,-0.023700294836522622,-0.024344839861520296,False,False
2006-02-21,-0.010835628818445797,-0.023700294836522622,-0.024344839861520296,False,False
2006-02-22,0.018195302298639193,-0.023700294836522622,-0.024344839861520296,False,False
2006-02-23,-0.004923413566739643,-0.023700294836522622,-0.024344839861520296,False,False
2006-02-24,0.005497507788162048,-0.023700294836522622,-0.024344839861520296,False,False
2006-02-27,-0.002369181745383364,-0.023700294836522622,-0.024344839861520296,False,False
2006-02-28,-0.01571064977308545,-0.023700294836522622,-0.024344839861520296,False,False
2006-03-01,0.004454305782214174,-0.023700294836522622,-0.024344839861520296,False,False
2006-03-02,-0.006282335666709882,-0.023700294836522622,-0.024344839861520296,False,False
2006-03-03,-0.0005578096050168346,-0.023700294836522622,-0.024344839861520296,False,False
2006-03-06,0.0,-0.023700294836522622,-0.024344839861520296,False,False
2006-03-07,-0.0029767441860464317,-0.023700294836522622,-0.024344839861520296,False,False
2006-03-08,0.004665049449524172,-0.023700294836522622,-0.024344839861520296,False,False
2006-03-09,-0.011887054234769767,-0.023700294836522622,-0.024344839861520296,False,False
2006-03-10,0.019360883094720283,-0.023700294836522622,-0.024344839861520296,False,False
2006-03-13,-0.007191591370090289,-0.023700294836522622,-0.024344839861520296,False,False
2006-03-14,0.002228807578008807,-0.023700294836522622,-0.024344839861520296,False,False
2006-03-15,0.0011119533193468811,-0.023700294836522622,-0.024344839861520296,False,False
2006-03-16,0.0018511477230653828,-0.023700294836522622,-0.024344839861520296,False,False
2006-03-17,0.00979310808930367,-0.023700294836522622,-0.024344839861520296,False,False
2006-03-20,-0.009698133222392213,-0.023700294836522622,-0.024344839861520296,False,False
2006-03-21,-0.009793034179472082,-0.023700294836522622,-0.024123122617102578,False,False
2006-03-22,-0.0007464265721217611,-0.023700294836522622,-0.024123122617102578,False,False
2006-03-23,-0.00840338017560005,-0.023700294836522622,-0.024123122617102578,False,False
2006-03-24,0.0015066290586300823,-0.023700294836522622,-0.024123122617102578,False,False
2006-03-27,0.0033847499059795894,-0.023700294836522622,-0.024123122617102578,False,False
2006-03-28,-0.014805115914446776,-0.023700294836522622,-0.024123122617102578,False,False
2006-03-29,-0.0013315579227696217,-0.023700294836522622,-0.024123122617102578,False,False
2006-03-30,-0.007047600000000043,-0.023700294836522622,-0.024123122617102578,False,False
2006-03-31,0.008056742603937517,-0.023700294836522622,-0.024123122617102578,False,False
2006-04-03,-0.0022835205001621173,-0.023700294836522622,-0.024123122617102578,False,False
2006-04-04,0.015258439824527903,-0.023700294836522622,-0.024123122617102578,False,False
2006-04-05,-0.006199473980837755,-0.023700294836522622,-0.024123122617102578,False,False
2006-04-06,-0.011909300116850652,-0.023700294836522622,-0.024123122617102578,False,False
2006-04-07,-0.010904897646833778,-0.023700294836522622,-0.024123122617102578,False,False
