Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,418.149994,436.725006,418.149994,433.049988,381.646088,134146
2005-01-04,421.174988,433.950012,420.250000,423.149994,372.921234,490890
2005-01-05,418.000000,422.875000,406.000000,410.975006,362.191467,287996
2005-01-06,410.000000,412.000000,397.325012,399.549988,352.122650,225624
2005-01-07,407.500000,407.500000,397.500000,405.424988,357.300293,402810
2005-01-10,416.450012,416.450012,395.000000,396.649994,349.566925,399468
2005-01-11,396.049988,399.500000,378.250000,382.149994,336.788025,350018
2005-01-12,386.500000,386.500000,361.000000,365.774994,322.356873,735248
2005-01-13,363.500000,379.399994,363.500000,374.674988,330.200378,482600
2005-01-14,377.000000,377.049988,368.000000,371.674988,327.556488,178452
2005-01-17,370.024994,375.250000,358.000000,364.225006,320.990753,345964
2005-01-18,374.450012,374.450012,353.549988,356.174988,313.896332,308986
2005-01-19,355.024994,360.500000,354.024994,354.700012,312.596466,302760
2005-01-20,355.950012,363.450012,351.500000,359.950012,317.223267,297614
2005-01-24,360.000000,367.600006,360.000000,364.600006,321.321320,407952
2005-01-25,365.000000,366.000000,361.000000,364.575012,321.299316,201358
2005-01-27,365.024994,372.500000,361.250000,365.575012,322.180573,834120
2005-01-28,367.000000,373.500000,365.625000,371.500000,327.402222,394328
2005-01-31,367.500000,384.375000,365.575012,368.225006,324.515961,1114438
2005-02-01,359.000000,359.000000,345.000000,355.225006,313.059113,1326988
2005-02-02,356.500000,359.924988,353.000000,354.700012,312.596466,427662
2005-02-03,359.924988,372.500000,349.049988,355.549988,313.345490,501394
2005-02-04,358.899994,367.950012,356.250000,366.149994,322.687286,485408
2005-02-07,365.000000,369.000000,361.000000,363.524994,320.373993,331424
2005-02-08,364.000000,368.500000,363.500000,366.899994,323.348267,252160
2005-02-09,370.000000,370.000000,367.500000,369.299988,325.463409,128372
2005-02-10,369.000000,374.500000,367.549988,370.850006,326.829376,255780
2005-02-11,372.325012,373.500000,369.549988,372.250000,328.063202,130916
2005-02-14,372.250000,377.000000,370.049988,373.024994,328.746185,200876
2005-02-15,374.500000,379.899994,370.049988,376.375000,331.698578,248156
2005-02-16,376.500000,377.500000,371.500000,372.875000,328.614014,97804
2005-02-17,370.500000,374.000000,370.000000,370.524994,326.542938,224618
2005-02-18,371.500000,371.950012,358.549988,360.000000,317.267334,502540
2005-02-21,363.500000,366.500000,359.549988,360.799988,317.972260,272048
